Date,Team,Acquired,Relinquished,Notes
2012-04-06, Wizards, ,Trevor Booker, plantar fasciitis in left foot (DNP)
2012-04-07, Bobcats, ,D.J. Augustine, right knee tendinitis (DNP)
2012-04-07, Bobcats, ,Reggie Williams, sore left knee (DNP)
2012-04-07, Grizzlies, ,Tony Allen, mouth injury (DNP)
2012-04-07, Hornets, ,Chris Johnson (b. 1985-07-15), concussion (DNP)
2012-04-07, Hornets, ,Jarrett Jack, sore right foot (DNP)
2012-04-07, Kings, ,Chuck Hayes, food poisoning (DNP)
2012-04-07, Lakers, ,Kobe Bryant, bruised left shin (DNP)
2012-04-07, Magic, ,Hidayet Turkoglu / Hedo Turkoglu, recovering from surgery to repair facial fracture (DNP)
2012-04-07, Suns, ,Grant Hill, recovering from surgery on right knee to repair torn meniscus (DNP)
2012-04-07, Timberwolves, ,Darko Milicic, strained right hamstring (DNP)
2012-04-08, Cavaliers, ,Kyrie Irving, sprained right shoulder (DNP)
2012-04-08, Kings, ,Francisco Garcia, concussion (DNP)
2012-04-08, Nets, ,Jordan Farmar, sore right groin (DNP)
2012-04-08, Rockets, ,Kevin Martin, strained right shoulder (DNP)
2012-04-08, Spurs, ,DeJuan Blair, DNP
2012-04-08, Spurs, ,Stephen Jackson, DNP
2012-04-09, Blazers, ,Nicolas Batum, left quadricep injury (DNP)
2012-04-09, Bobcats, ,D.J. Augustine, right knee tendinitis (DNP)
2012-04-09, Bobcats, ,Reggie Williams, sore left knee (DNP)
2012-04-09, Grizzlies, ,Tony Allen, mouth injury (DNP)
2012-04-09, Hornets, ,Chris Johnson (b. 1985-07-15), concussion (DNP)
2012-04-09, Hornets, ,Eric Gordon, tightness in lower back (DNP)
2012-04-09, Hornets, ,Jarrett Jack, stress fracture in right foot (DNP)
2012-04-09, Jazz, ,C.J. Miles, strained left calf / surgery on right knee (DNP)
2012-04-09, Jazz, ,Earl Watson, torn medial meniscus (P) / strained left calf (CBC) (DNP)
2012-04-09, Lakers, ,Kobe Bryant, sore left shin (DNP)
2012-04-09, Pacers, ,Darren Collison, sore groin (DNP)
2012-04-09, Rockets, ,Kevin Martin, strained right shoulder (DNP)
2012-04-09, Spurs, ,(William) Tony Parker, rest (DNP)
2012-04-09, Spurs, ,Emanuel Ginobili / Manu Ginobili, rest (DNP) (P)
2012-04-09, Spurs, ,Tim Duncan, rest (DNP)
2012-04-09, Suns, ,Grant Hill, recovering from surgery on right knee to repair torn meniscus (DNP)
2012-04-09, Timberwolves, ,Darko Milicic, strained right hamstring (DNP)
2012-04-09, Wizards, ,Nene / Nene Hilario / Maybyner Hilario, plantar fasciitis in left foot (DNP)
2012-04-09, Wizards, ,Trevor Booker, plantar fasciitis in left foot (DNP)
2012-04-10, Bobcats, ,Reggie Williams, sore left knee (DNP)
2012-04-10, Cavaliers, ,Kyrie Irving, sprained right shoulder (DNP)
2012-04-10, Cavaliers,Anthony Parker, , returned to lineup
2012-04-10, Kings, ,Francisco Garcia, concussion (DNP)
2012-04-10, Kings,Marcus Thornton (T.), , returned to lineup
2012-04-10, Nets, ,Gerald Wallace, strained left hamstring (DNP)
2012-04-10, Nets, ,Jordan Farmar, sore right groin (DNP)
2012-04-10, Wizards, ,Nene / Nene Hilario / Maybyner Hilario, plantar fasciitis in left foot (DNP)
2012-04-10, Wizards, ,Trevor Booker, plantar fasciitis in left foot (DNP)
2012-04-11, Blazers, ,LaMarcus Aldridge, right hip injury (DNP)
2012-04-11, Cavaliers, ,Kyrie Irving, sprained right shoulder (DNP)
2012-04-11, Grizzlies, ,Tony Allen, mouth injury (DNP)
2012-04-11, Hornets, ,Eric Gordon, tightness in lower back (DNP)
2012-04-11, Hornets, ,Jarrett Jack, stress fracture in right foot (DNP)
2012-04-11, Jazz, ,C.J. Miles, strained gastrocnemius (DNP)
2012-04-11, Jazz, ,Jeremy Evans, sprained right ankle (DNP)
2012-04-11, Kings, ,Francisco Garcia, concussion (DNP)
2012-04-11, Lakers, ,Kobe Bryant, left shin injury (DNP)
2012-04-11, Rockets, ,Kevin Martin, strained right shoulder (DNP)
2012-04-11, Spurs, ,Gary Neal, gastroenteritis (DNP)
2012-04-11, Suns, ,Grant Hill, recovering from surgery on right knee to repair torn meniscus (DNP)
2012-04-11, Timberwolves, ,Wayne Ellington, back spasms (DNP)
2012-04-12, Blazers, ,LaMarcus Aldridge, surgery on right hip to repair torn labrum (out for season) (date approximate)
2012-04-12, Bobcats, ,Corey Maggette, strained right Achilles tendon (DNP)
2012-04-12, Bobcats, ,Tyrus Thomas, bruised right knee (DNP)
2012-04-12, Grizzlies, ,Tony Allen, mouth injury (DNP)
2012-04-12, Timberwolves, ,Darko Milicic, strained right hamstring (DNP)
2012-04-12, Timberwolves, ,Kevin Love, concussion (DNP)
2012-04-12, Timberwolves, ,Wayne Ellington, back spasms (DNP)
2012-04-13, Blazers, ,LaMarcus Aldridge, right hip injury (DNP)
2012-04-13, Bobcats, ,Corey Maggette, sore right Achilles tendon (DNP)
2012-04-13, Bobcats, ,DeSagana Diop, sore left Achilles tendon (DNP)
2012-04-13, Bobcats, ,Tyrus Thomas, bruised right knee (DNP)
2012-04-13, Bucks, ,Luc Richard Mbah a Moute / Luc Mbah a Moute, DNP
2012-04-13, Cavaliers, ,Daniel Gibson, recovering from surgery on left foot and ankle to repair torn tendon (DNP)
2012-04-13, Cavaliers, ,Kyrie Irving, sprained right shoulder (DNP)
2012-04-13, Cavaliers, ,Semih Erden, sprained right ankle (DNP)
2012-04-13, Heat, ,Dwyane Wade, sore right ankle (DNP)
2012-04-13, Heat, ,Mike Miller, ankle injury (DNP)
2012-04-13, Hornets, ,Jarrett Jack, stress fracture in right foot (DNP)
2012-04-13, Jazz, ,C.J. Miles, strained gastrocnemius (DNP)
2012-04-13, Jazz, ,Earl Watson, knee injury (DNP)
2012-04-13, Jazz, ,Jeremy Evans, sprained right ankle (DNP)
2012-04-13, Kings, ,Hassan Whiteside, sprained right ankle (DTD)
2012-04-13, Lakers, ,Kobe Bryant, left shin injury (DNP)
2012-04-13, Magic, ,Chris Duhon, foot injury (DTD)
2012-04-13, Nets, ,Gerald Wallace, strained left hamstring (DNP)
2012-04-13, Nets, ,Jordan Farmar, sore right groin (DNP)
2012-04-13, Raptors, ,Jose Calderon, facial injury (DNP)
2012-04-13, Rockets, ,Kevin Martin, strained right shoulder (DNP)
2012-04-13, Thunder, ,James Harden, sore right knee (DNP)
2012-04-13, Wizards, ,Nene / Nene Hilario / Maybyner Hilario, plantar fasciitis in left foot (DNP)
2012-04-13, Wizards, ,Trevor Booker, plantar fasciitis in left foot (DNP)
2012-04-14, Cavaliers, ,Antawn Jamison, rest (DNP)
2012-04-14, Cavaliers, ,Kyrie Irving, sprained right shoulder (DNP)
2012-04-14, Jazz, ,C.J. Miles, strained gastrocnemius (DNP)
2012-04-14, Jazz, ,Earl Watson, knee injury (DNP)
2012-04-14, Jazz, ,Jeremy Evans, sprained right ankle (DNP)
2012-04-14, Nets, ,Gerald Wallace, strained left hamstring (DNP)
2012-04-14, Nets, ,Jordan Farmar, sore right groin (DNP)
2012-04-14, Timberwolves, ,Darko Milicic, strained right hamstring (DNP)
2012-04-14, Timberwolves, ,Kevin Love, concussion (DNP)
2012-04-14, Warriors, ,David Lee, strained groin (DNP)
2012-04-14, Warriors, ,Richard Jefferson, right knee injury (DNP)
2012-04-14, Wizards, ,Nene / Nene Hilario / Maybyner Hilario, plantar fasciitis in left foot (DNP)
2012-04-14, Wizards, ,Trevor Booker, plantar fasciitis in left foot (DNP)
2012-04-15, Blazers, ,LaMarcus Aldridge, right hip injury (DNP)
2012-04-15, Cavaliers, ,Kyrie Irving, sprained right shoulder (DNP)
2012-04-15, Celtics, ,Kevin Garnett, rest (DNP)
2012-04-15, Celtics, ,Paul Pierce, toe injury / rest (DNP)
2012-04-15, Hornets, ,Jarrett Jack, stress fracture in right foot (DNP)
2012-04-15, Lakers, ,Kobe Bryant, left shin injury (DNP)
2012-04-15, Magic,Chris Duhon, , returned to lineup
2012-04-15, Raptors, ,Jose Calderon, right eye injury (DNP)
2012-04-15, Rockets, ,Kevin Martin, strained right shoulder (DNP)
2012-04-16, Blazers, ,LaMarcus Aldridge, right hip injury (DNP)
2012-04-16, Blazers, ,Nicolas Batum, quadriceps injury (DNP)
2012-04-16, Blazers, ,Raymond Felton, sore Achilles tendon (DNP)
2012-04-16, Bobcats, ,D.J. Augustine, right knee tendinitis (DNP)
2012-04-16, Bobcats, ,DeSagana Diop, strained left Achilles tendon (DNP)
2012-04-16, Bobcats, ,Reggie Williams, concussion (DNP)
2012-04-16, Bulls, ,Luol Deng, bruised ribs (DNP)
2012-04-16, Heat, ,Dwyane Wade, right ankle injury (DNP)
2012-04-16, Heat, ,Shane Battier, back injury (DNP)
2012-04-16, Hornets, ,Chris Kaman, bruised left tibia (DNP)
2012-04-16, Hornets, ,Eric Gordon, back injury / rest (DNP)
2012-04-16, Hornets, ,Jarrett Jack, stress fracture in right foot (DNP)
2012-04-16, Magic, ,Glen Davis, sprained right knee (DNP)
2012-04-16, Nets, ,Deron Williams, sore right calf (DNP)
2012-04-16, Nets, ,Gerald Wallace, strained left hamstring (DNP)
2012-04-16, Nets, ,Jordan Farmar, sore right groin (DNP)
2012-04-16, Raptors, ,Linas Kleiza, knee injury (DTD)
2012-04-16, Rockets, ,Kevin Martin, strained right shoulder (DNP)
2012-04-16, Rockets, ,Marcus Camby, sore lower back (DNP)
2012-04-16, Suns, ,Grant Hill, recovering from surgery on right knee to repair torn meniscus (DNP)
2012-04-16, Timberwolves, ,Darko Milicic, strained right hamstring (DNP)
2012-04-16, Timberwolves, ,Kevin Love, concussion (DNP)
2012-04-16, Warriors, ,Andris Biedrins, concussion (DNP)
2012-04-16, Warriors, ,David Lee, strained groin (DNP)
2012-04-16, Warriors, ,Richard Jefferson, right knee injury (DNP)
2012-04-16, Wizards, ,Nene / Nene Hilario / Maybyner Hilario, plantar fasciitis in left foot (DNP)
2012-04-16, Wizards, ,Trevor Booker, plantar fasciitis in left foot (DNP)
2012-04-16, Wizards, ,Roger Mason Jr., surgery on left index finger to repair fracture (out for season)
2012-04-17, Cavaliers, ,Alonzo Gee, sprained left ankle (DNP)
2012-04-17, Cavaliers, ,Kyrie Irving, sprained right shoulder (DNP)
2012-04-17, Celtics, ,Mickael Pietrus, knee injury (DTD)
2012-04-17, Lakers, ,Andrew Goudelock, migraine headache (DNP)
2012-04-17, Lakers, ,Kobe Bryant, left shin injury (DNP)
2012-04-17, Timberwolves, ,Darko Milicic, strained right hamstring (DNP)
2012-04-17, Timberwolves, ,Kevin Love, concussion (DNP)
2012-04-18, Blazers, ,LaMarcus Aldridge, right hip injury (DNP)
2012-04-18, Blazers, ,Raymond Felton, sore Achilles tendon (DNP)
2012-04-18, Bobcats, ,D.J. Augustine, right knee tendinitis (DNP)
2012-04-18, Bobcats, ,DeSagana Diop, strained left Achilles tendon (DNP)
2012-04-18, Bobcats, ,Reggie Williams, concussion (DNP)
2012-04-18, Bucks, ,Larry Sanders (b. 1988-11-21), stomach flu (DTD)
2012-04-18, Bulls, ,Luol Deng, bruised ribs (DNP)
2012-04-18, Cavaliers, ,Alonzo Gee, sprained left ankle (DNP)
2012-04-18, Celtics, ,Rajon Rondo, sore lower back (DNP)
2012-04-18, Clippers, ,Reggie Evans, flu-like symptoms (DNP)
2012-04-18, Grizzlies, ,Gilbert Arenas, finger injury (DTD)
2012-04-18, Hawks, ,Erick Dampier, calf injury (DTD)
2012-04-18, Hornets, ,Chris Kaman, bruised left tibia (DNP)
2012-04-18, Hornets, ,Eric Gordon, back injury / rest (DNP)
2012-04-18, Hornets, ,Trevor Ariza, DNP (P)
2012-04-18, Jazz, ,C.J. Miles, strained gastrocnemius (DNP)
2012-04-18, Jazz, ,Earl Watson, knee injury (DNP)
2012-04-18, Kings, ,Hassan Whiteside, sprained right ankle (DNP)
2012-04-18, Knicks, ,Baron Davis, stomach virus (DNP)
2012-04-18, Knicks, ,Jared Jeffries, sore right knee (DTD)
2012-04-18, Lakers, ,Kobe Bryant, left shin injury (DNP)
2012-04-18, Nets, ,Deron Williams, sore right calf (DNP)
2012-04-18, Nets, ,Jordan Farmar, sore right groin (DNP)
2012-04-18, Nets, ,Shelden Williams, hyperextended right knee (DNP)
2012-04-18, Pistons, ,Tayshaun Prince, DNP
2012-04-18, Spurs, ,Tim Duncan, rest (DNP)
2012-04-18, Suns, ,Grant Hill, recovering from surgery on right knee to repair torn meniscus (DNP)
2012-04-18, Warriors, ,Andris Biedrins, concussion (DNP)
2012-04-18, Warriors, ,David Lee, strained groin (DNP)
2012-04-18, Warriors, ,Nate Robinson, hamstring injury (out for season)
2012-04-18, Wizards, ,Trevor Booker, plantar fasciitis in left foot (DNP)
2012-04-19, Clippers, ,Reggie Evans, flu-like symptoms (DNP)
2012-04-19, Heat, ,Chris Bosh, DNP
2012-04-19, Hornets, ,Chris Kaman, bruised left tibia (DNP)
2012-04-19, Hornets, ,Trevor Ariza, DNP (P)
2012-04-19, Suns, ,Grant Hill, recovering from surgery on right knee to repair torn meniscus (DNP)
2012-04-19, Timberwolves, ,Darko Milicic, strained right hamstring (DNP)
2012-04-19, Timberwolves, ,Kevin Love, concussion (DNP)
2012-04-20, Bobcats, ,D.J. Augustine, right knee tendinitis (DNP)
2012-04-20, Bobcats, ,DeSagana Diop, strained left Achilles tendon (DNP)
2012-04-20, Bobcats, ,Reggie Williams, concussion (DNP)
2012-04-20, Bobcats, ,Tyrus Thomas, bruised right knee (DNP)
2012-04-20, Cavaliers, ,Alonzo Gee, sprained left ankle (DNP)
2012-04-20, Celtics, ,Kevin Garnett, rest (DNP)
2012-04-20, Celtics, ,Paul Pierce, rest (DNP)
2012-04-20, Celtics, ,Rajon Rondo, sore lower back (DNP)
2012-04-20, Kings, ,Hassan Whiteside, sprained right ankle (DNP)
2012-04-20, Kings, ,Marcus Thornton (T.), quadriceps injury (DNP)
2012-04-20, Magic, ,Dwight Howard, surgery on back to repair herniated disc (out for season)
2012-04-20, Warriors, ,Andris Biedrins, concussion (DNP)
2012-04-20, Warriors, ,David Lee, strained groin (DNP)
2012-04-21, Blazers, ,Joel Przybilla, bronchitis (DNP)
2012-04-21, Blazers, ,LaMarcus Aldridge, right hip injury (DNP)
2012-04-21, Blazers, ,Nicolas Batum, left quadriceps tendinitis (DNP)
2012-04-21, Bucks, ,Carlos Delfino, strained right groin (DNP)
2012-04-21, Grizzlies, ,Zach Randolph, rest (DNP)
2012-04-21, Heat, ,Chris Bosh, rest (DNP)
2012-04-21, Heat, ,LeBron James, rest (DNP)
2012-04-21, Jazz, ,C.J. Miles, strained gastrocnemius (DNP)
2012-04-21, Jazz, ,Earl Watson, knee injury (DNP)
2012-04-21, Magic, ,Earl Clark, knee injury (DTD)
2012-04-21, Mavericks, ,Jason Terry, rest (DNP)
2012-04-21, Nets, ,Deron Williams, sore right calf (DNP)
2012-04-21, Nets, ,Jordan Farmar, sore right groin (DNP)
2012-04-21, Nets, ,Shelden Williams, hyperextended right knee (DNP)
2012-04-21, Suns, ,Grant Hill, recovering from surgery on right knee to repair torn meniscus (DNP)
2012-04-21, Warriors, ,Andrew Bogut, surgery on left ankle to clean out fragments and scar tissue (date approximate)
2012-04-21, Warriors, ,Andris Biedrins, concussion (DNP)
2012-04-21, Warriors, ,David Lee, strained groin (DNP)
2012-04-21, Warriors, ,Dorell Wright, sprained right ankle (DNP)
2012-04-21, Wizards, ,Trevor Booker, plantar fasciitis in left foot (DNP)
2012-04-22, Bobcats, ,D.J. Augustine, right knee tendinitis (DNP)
2012-04-22, Bobcats, ,Reggie Williams, left knee tendinitis (DNP)
2012-04-22, Clippers, ,Nick Young, flu-like symptoms (DNP)
2012-04-22, Heat, ,Chris Bosh, leg muscle fatigue (DNP)
2012-04-22, Heat, ,Dwyane Wade, dislocated left index finger (DNP)
2012-04-22, Heat, ,Mario Chalmers, flu-like symptoms (DNP)
2012-04-22, Hornets, ,Chris Kaman, bruised left tibia (DNP)
2012-04-22, Hornets, ,Trevor Ariza, DNP (P)
2012-04-22, Kings, ,Hassan Whiteside, sprained right ankle (DNP)
2012-04-22, Knicks, ,Tyson Chandler, rest (DNP)
2012-04-22, Nuggets, ,Al Harrington, right knee injury (DNP)
2012-04-22, Raptors, ,Jose Calderon, right eye injury (DNP)
2012-04-22, Rockets, ,Kyle Lowry, hernia (out for season)
2012-04-22, Spurs, ,Tim Duncan, rest (DNP)
2012-04-22, Timberwolves, ,Darko Milicic, strained right hamstring (DNP)
2012-04-22, Timberwolves, ,Kevin Love, concussion (DNP)
2012-04-22, Timberwolves, ,Malcolm Lee, illness (DNP)
2012-04-22, Warriors, ,Andris Biedrins, concussion (DNP)
2012-04-22, Warriors, ,David Lee, strained groin (DNP)
2012-04-23, Blazers, ,Jamal Crawford, right knee tendinitis (DNP)
2012-04-23, Blazers, ,Joel Przybilla, bronchitis (DNP)
2012-04-23, Blazers, ,LaMarcus Aldridge, right hip injury (DNP)
2012-04-23, Bucks, ,Carlos Delfino, strained right groin (DNP)
2012-04-23, Nets, ,Deron Williams, sore right calf (DNP)
2012-04-23, Nets, ,Jordan Farmar, sore right groin (DNP)
2012-04-23, Nets, ,Shelden Williams, hyperextended right knee (DNP)
2012-04-23, Pacers, ,George Hill, sore left shoulder (DNP)
2012-04-23, Pacers, ,Roy Hibbert, rest (DNP)
2012-04-23, Raptors, ,Jose Calderon, right eye injury (DNP)
2012-04-23, Wizards, ,Trevor Booker, plantar fasciitis in left foot (DNP)
2012-04-24, Celtics, ,Greg Stiemsma, sore right foot (DNP)
2012-04-24, Celtics, ,Kevin Garnett, hip flexor injury (DNP)
2012-04-24, Celtics, ,Rajon Rondo, sore lower back (DNP)
2012-04-24, Heat, ,Chris Bosh, leg muscle fatigue (DNP)
2012-04-24, Heat, ,Dwyane Wade, dislocated left index finger (DNP)
2012-04-24, Heat, ,LeBron James, rest (DNP)
2012-04-24, Hornets, ,Chris Kaman, bruised left tibia (DNP)
2012-04-24, Hornets, ,Eric Gordon, rest (DNP)
2012-04-24, Hornets, ,Jason Smith, sprained left ankle (DNP)
2012-04-24, Hornets, ,Trevor Ariza, DNP (P)
2012-04-24, Jazz, ,Earl Watson, knee injury (DNP)
2012-04-24, Kings, ,Hassan Whiteside, sprained right ankle (DNP)
2012-04-24, Kings, ,Marcus Thornton (T.), quadriceps injury (DNP)
2012-04-24, Kings, ,Terrence Williams, illness (DNP)
2012-04-24, Spurs, ,Gary Neal, left shoulder injury (DTD)
2012-04-24, Suns, ,Channing Frye, right shoulder injury (DNP)
2012-04-24, Warriors, ,Andris Biedrins, concussion (DNP)
2012-04-24, Warriors, ,David Lee, strained groin (DNP)
2012-04-25, 76ers, ,Andre Iguodala, rest (DNP)
2012-04-25, 76ers, ,Louis Williams / Lou Williams, rest (DNP)
2012-04-25, 76ers, ,Thaddeus Young, rest (DNP)
2012-04-25, Bucks, ,Carlos Delfino, strained right groin (DNP)
2012-04-25, Bucks, ,Drew Gooden, rest (DNP)
2012-04-25, Bucks, ,Ersan Ilyasova, right knee / thigh injury (DNP)
2012-04-25, Bucks, ,Monta Ellis, right hand injury (DNP)
2012-04-25, Clippers, ,Chris Paul, strained left groin (DNP)
2012-04-25, Pacers, ,Kyrylo Fesenko, stomach flu (DNP)
2012-04-25, Pacers, ,Leandro Barbosa, sprained left ankle (DNP)
2012-04-25, Spurs, ,Emanuel Ginobili / Manu Ginobili, rest (DNP)
2012-04-25, Spurs, ,Gary Neal, left shoulder injury (DNP)
2012-04-25, Suns, ,Channing Frye, right shoulder injury (DNP)
2012-04-25, Suns, ,Grant Hill, recovering from surgery on right knee to repair torn meniscus (DNP)
2012-04-25, Warriors, ,Stephen Curry, arthroscopic surgery on right ankle (out for season)
2012-04-25, Wizards, ,Jordan Crawford, sprained right ankle (DNP)
2012-04-25, Wizards, ,Trevor Booker, plantar fasciitis in left foot (DNP)
2012-04-26, 76ers, ,Andre Iguodala, rest (DNP)
2012-04-26, 76ers, ,Jrue Holiday, rest (DNP)
2012-04-26, 76ers, ,Louis Williams / Lou Williams, rest (DNP)
2012-04-26, 76ers, ,Thaddeus Young, rest (DNP)
2012-04-26, Blazers, ,Jamal Crawford, right knee tendinitis (DNP)
2012-04-26, Blazers, ,LaMarcus Aldridge, right hip injury (DNP)
2012-04-26, Blazers, ,Raymond Felton, DNP
2012-04-26, Bobcats, ,Derrick Brown, sprained right ankle (DNP)
2012-04-26, Bobcats, ,Reggie Williams, left knee tendinitis (DNP)
2012-04-26, Bucks, ,Carlos Delfino, strained right groin (DNP)
2012-04-26, Bucks, ,Drew Gooden, rest (DNP)
2012-04-26, Bucks, ,Ersan Ilyasova, right knee injury (DNP)
2012-04-26, Bucks, ,Monta Ellis, right hand injury (DNP)
2012-04-26, Bulls, ,Derrick Rose, rest (DNP)
2012-04-26, Bulls, ,Kyle Korver, rest (DNP)
2012-04-26, Cavaliers, ,Kyrie Irving, rest (DNP)
2012-04-26, Cavaliers, ,Omri Casspi, right knee tendinitis (DNP)
2012-04-26, Hawks, ,Jannero Pargo, back injury (DNP)
2012-04-26, Hawks,Erick Dampier, , returned to lineup
2012-04-26, Heat, ,Chris Bosh, placed on IL with leg muscle fatigue
2012-04-26, Heat, ,LeBron James, rest (DNP)
2012-04-26, Hornets, ,Chris Kaman, bruised left tibia (DNP)
2012-04-26, Hornets, ,Gustavo Ayon, concussion (DNP)
2012-04-26, Hornets, ,Trevor Ariza, DNP (P)
2012-04-26, Kings, ,Hassan Whiteside, sprained right ankle (DNP)
2012-04-26, Knicks, ,Baron Davis, rest (DNP)
2012-04-26, Knicks, ,Carmelo Anthony, rest (DNP)
2012-04-26, Knicks, ,Toney Douglas, virus (DNP)
2012-04-26, Knicks, ,Tyson Chandler, rest (DNP)
2012-04-26, Lakers, ,Andrew Bynum, rest (DNP)
2012-04-26, Lakers, ,Kobe Bryant, rest (DNP)
2012-04-26, Lakers, ,Pau Gasol, rest (DNP)
2012-04-26, Magic, ,J.J. Redick, DNP
2012-04-26, Magic, ,Jameer Nelson, DNP
2012-04-26, Magic, ,Jason Richardson, DNP
2012-04-26, Magic, ,Ryan Anderson, DNP
2012-04-26, Nets, ,Deron Williams, sore right calf (DNP)
2012-04-26, Nets, ,Gerald Wallace, DNP
2012-04-26, Nets, ,Jordan Farmar, sore right groin (DNP)
2012-04-26, Nets, ,Kris Humphries, bruised right big toe (DNP)
2012-04-26, Nets, ,Shelden Williams, left knee injury (DNP)
2012-04-26, Raptors, ,Jose Calderon, right eye injury (DNP)
2012-04-26, Raptors, ,Linas Kleiza, DNP
2012-04-26, Rockets, ,Chandler Parsons, bruised right shoulder (DNP)
2012-04-26, Rockets, ,Kyle Lowry, hernia (DNP)
2012-04-26, Spurs, ,Emanuel Ginobili / Manu Ginobili, rest (DNP)
2012-04-26, Spurs, ,Gary Neal, left shoulder injury (DNP)
2012-04-26, Spurs, ,Kawhi Leonard, rest (DNP)
2012-04-26, Spurs, ,Stephen Jackson, rest (DNP)
2012-04-26, Warriors, ,Andris Biedrins, concussion (DNP)
